term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs,city_key,city_order,panel_row,panel_col,significant_05,effect_direction
post12,-10.196980501507548,1e-06,-10196980.501507549,0.0,-10.196982461471531,-10.196978541543562,Corpus Christi,12,-99.99627172759762,-99.99627173490488,-99.99627172029034,21916,corpuschristi,20,4,5,True,significant_suppression
post1,0.424765554874961,0.0622727024612852,6.821055423747447,9.037406390804402e-12,0.302713300830863,0.5468178089190588,Dallas,1,52.923185667949646,35.35263539283897,72.77462420263625,147933,dallas,21,5,1,True,significant_enhancement
post2,0.4842872102071383,0.032933435909891,14.705031431648765,5.984312975001021e-49,0.4197388619365937,0.548835558477683,Dallas,2,62.30177259748109,52.15641654145331,73.12359207084715,147933,dallas,21,5,1,True,significant_enhancement
post3,0.3180291693650457,0.0271750973722621,11.702963378878678,1.2307894489967663e-31,0.2647669572390429,0.3712913814910485,Dallas,3,37.441635149513615,30.312725601627697,44.96054000374667,147933,dallas,21,5,1,True,significant_enhancement
post4,0.2653348210408115,0.0329429725107793,8.05436792183799,7.989057156130229e-16,0.200767781375991,0.329901860705632,Dallas,4,30.38674649631088,22.23408885439031,39.08316265313756,147933,dallas,21,5,1,True,significant_enhancement
post5,0.0359010188182235,0.0447020613665848,0.8031177471618759,0.4219066809051345,-0.051713411494982,0.1235154491314291,Dallas,5,3.655324214817579,-5.039902742706682,13.146748459692992,147933,dallas,21,5,1,False,not_significant
post6,0.2120720709393415,0.043119437965001,4.918247568798902,8.73224306428047e-07,0.1275595254943303,0.2965846163843526,Dallas,6,23.623697862823544,13.605249031459454,34.52563859128182,147933,dallas,21,5,1,True,significant_enhancement
post7,0.1829947335307613,0.0480871840438681,3.805478261397509,0.00014153044515588287,0.0887455846868306,0.2772438823746919,Dallas,7,20.08080840453419,9.280259524183032,31.948813169642285,147933,dallas,21,5,1,True,significant_enhancement
post8,0.260847992068596,0.0419347001588525,6.220337598229623,4.960863066593516e-10,0.178657490054759,0.343038494082433,Dallas,8,29.803033952970704,19.56111653147108,40.92230076289969,147933,dallas,21,5,1,True,significant_enhancement
post9,0.2415292008484461,0.0268202094114597,9.005492729122592,2.1469951771860728e-19,0.1889625563441628,0.2940958453527295,Dallas,9,27.31946327382253,20.79957198600826,34.1912513581738,147933,dallas,21,5,1,True,significant_enhancement
post10,0.0288931308758206,0.025566906440317,1.1300988229948048,0.2584345856506811,-0.021217084943306,0.0790033466949472,Dallas,10,2.931458664863529,-2.0993586052343582,8.22079438841119,147933,dallas,21,5,1,False,not_significant
post11,0.0415248777817443,0.0279916650879313,1.4834729427956672,0.137948800014812,-0.0133377776579084,0.096387533221397,Dallas,11,4.2399094106057245,-1.32492236432743,10.118572736780653,147933,dallas,21,5,1,False,not_significant
post12,-0.1070625053602525,0.0393324955942351,-2.7219860764681445,0.0064890876424697,-0.1841527801470337,-0.0299722305734714,Dallas,12,-10.153048792538357,-16.819128973882545,-2.952751736136938,147933,dallas,21,5,1,True,significant_suppression
post1,-1.3589763697341533,0.5521718692196749,-2.4611474171160665,0.0138493447717705,-2.4412133466808763,-0.27673939278743,Detroit,1,-74.30763627941963,-91.2944840734238,-24.17479226757274,71227,detroit,23,5,3,True,significant_suppression
post2,-1.8698019935010883,0.8409978078761451,-2.223313754197629,0.026194650705111,-3.5181274080154683,-0.2214765789867085,Detroit,2,-84.58458176766634,-97.03450852379564,-19.86653100014217,71227,detroit,23,5,3,True,significant_suppression
post3,-1.0225041331134497,0.7319891667533531,-1.3968842430396058,0.1624483836651609,-2.457176537023505,0.4121682707966063,Detroit,3,-64.03069079120579,-91.43234857497085,51.00885187488156,71227,detroit,23,5,3,False,not_significant
post4,-2.9684142821714103,0.8409978078781637,-3.529633792578741,0.0004161352366004,-4.616739696689747,-1.3200888676530742,Detroit,4,-94.86152725590014,-99.01150284127132,-73.28884366666747,71227,detroit,23,5,3,True,significant_suppression
post5,-2.968414282171413,0.8409978078781637,-3.5296337925787435,0.0004161352366004738,-4.6167396966897485,-1.3200888676530764,Detroit,5,-94.86152725590016,-99.01150284127132,-73.28884366666753,71227,detroit,23,5,3,True,significant_suppression
