"model_id","city","activity_type","row_exposure","col_exposure","covariance"
"Fort_Worth__all","Fort_Worth","all",4,4,0.00114563428584964
"Fort_Worth__all","Fort_Worth","all",6,4,0.00162931432717317
"Fort_Worth__all","Fort_Worth","all",2,6,0.000839762186609873
"Fort_Worth__all","Fort_Worth","all",4,6,0.00162931432717317
"Fort_Worth__all","Fort_Worth","all",6,6,0.00231844647564332
"Fresno__all","Fresno","all",2,2,0.00131553547324885
"Fresno__all","Fresno","all",4,2,0.00252441752696261
"Fresno__all","Fresno","all",6,2,0.0035199935218644
"Fresno__all","Fresno","all",2,4,0.00252441752696261
"Fresno__all","Fresno","all",4,4,0.00484617900153083
"Fresno__all","Fresno","all",6,4,0.00676262774710364
"Fresno__all","Fresno","all",2,6,0.0035199935218644
"Fresno__all","Fresno","all",4,6,0.00676262774710364
"Fresno__all","Fresno","all",6,6,0.00945054353514417
"Gilbert__all","Gilbert","all",2,2,0.014351847306008
"Gilbert__all","Gilbert","all",4,2,0.0239348963956558
"Gilbert__all","Gilbert","all",6,2,0.0242404442051481
"Gilbert__all","Gilbert","all",2,4,0.0239348963956558
"Gilbert__all","Gilbert","all",4,4,0.0403909488004891
"Gilbert__all","Gilbert","all",6,4,0.0422924562532538
"Gilbert__all","Gilbert","all",2,6,0.0242404442051481
"Gilbert__all","Gilbert","all",4,6,0.0422924562532538
"Gilbert__all","Gilbert","all",6,6,0.048286432044075
"Henderson__all","Henderson","all",2,2,0.0046700512974029
"Henderson__all","Henderson","all",4,2,0.00856824275583213
"Henderson__all","Henderson","all",6,2,0.0109227168431138
"Henderson__all","Henderson","all",2,4,0.00856824275583213
"Henderson__all","Henderson","all",4,4,0.0157359191484047
"Henderson__all","Henderson","all",6,4,0.0201024609690182
"Henderson__all","Henderson","all",2,6,0.0109227168431138
"Henderson__all","Henderson","all",4,6,0.0201024609690182
"Henderson__all","Henderson","all",6,6,0.0257962601218637
"Houston__all","Houston","all",2,2,0.00021730922173612
"Houston__all","Houston","all",4,2,0.000406977723996895
"Houston__all","Houston","all",6,2,0.000541590188356599
"Houston__all","Houston","all",2,4,0.000406977723996895
"Houston__all","Houston","all",4,4,0.000763085099769989
"Houston__all","Houston","all",6,4,0.00101786444158213
"Houston__all","Houston","all",2,6,0.000541590188356599
"Houston__all","Houston","all",4,6,0.00101786444158213
"Houston__all","Houston","all",6,6,0.00136403497592683
"Indianapolis__all","Indianapolis","all",2,2,0.0208286341495285
"Indianapolis__all","Indianapolis","all",4,2,0.031249363478996
"Indianapolis__all","Indianapolis","all",6,2,0.0208542890589471
"Indianapolis__all","Indianapolis","all",2,4,0.031249363478996
"Indianapolis__all","Indianapolis","all",4,4,0.0499354762500599
"Indianapolis__all","Indianapolis","all",6,4,0.0434950828927781
"Indianapolis__all","Indianapolis","all",2,6,0.0208542890589471
"Indianapolis__all","Indianapolis","all",4,6,0.0434950828927781
"Indianapolis__all","Indianapolis","all",6,6,0.0697088874545004
"Jacksonville__all","Jacksonville","all",2,2,0.0121928508861109
"Jacksonville__all","Jacksonville","all",4,2,0.0166592097011901
"Jacksonville__all","Jacksonville","all",6,2,0.0114749516466689
"Jacksonville__all","Jacksonville","all",2,4,0.0166592097011901
"Jacksonville__all","Jacksonville","all",4,4,0.0257724198850168
"Jacksonville__all","Jacksonville","all",6,4,0.0249308207222806
"Jacksonville__all","Jacksonville","all",2,6,0.0114749516466689
"Jacksonville__all","Jacksonville","all",4,6,0.0249308207222806
"Jacksonville__all","Jacksonville","all",6,6,0.0392373940488537
"Kansas_City__all","Kansas_City","all",2,2,0.00138247606964856
"Kansas_City__all","Kansas_City","all",4,2,0.00244033503391451
"Kansas_City__all","Kansas_City","all",6,2,0.00284928108406357
"Kansas_City__all","Kansas_City","all",2,4,0.00244033503391451
"Kansas_City__all","Kansas_City","all",4,4,0.00433350726788249
"Kansas_City__all","Kansas_City","all",6,4,0.00513288394758118
"Kansas_City__all","Kansas_City","all",2,6,0.00284928108406357
"Kansas_City__all","Kansas_City","all",4,6,0.00513288394758118
"Kansas_City__all","Kansas_City","all",6,6,0.00628564918028842
"Las_Vegas__all","Las_Vegas","all",2,2,0.0035358047505595
"Las_Vegas__all","Las_Vegas","all",4,2,0.00614293289081446
"Las_Vegas__all","Las_Vegas","all",6,2,0.00689668663380114
"Las_Vegas__all","Las_Vegas","all",2,4,0.00614293289081446
"Las_Vegas__all","Las_Vegas","all",4,4,0.010721266633728
"Las_Vegas__all","Las_Vegas","all",6,4,0.0121770342451019
"Las_Vegas__all","Las_Vegas","all",2,6,0.00689668663380114
"Las_Vegas__all","Las_Vegas","all",4,6,0.0121770342451019
"Las_Vegas__all","Las_Vegas","all",6,6,0.0142313562531819
"Los_Angeles__all","Los_Angeles","all",2,2,0.0961256180945546
"Los_Angeles__all","Los_Angeles","all",4,2,0.171076918458581
"Los_Angeles__all","Los_Angeles","all",6,2,0.203679625025454
"Los_Angeles__all","Los_Angeles","all",2,4,0.171076918458581
"Los_Angeles__all","Los_Angeles","all",4,4,0.304560637881753
"Los_Angeles__all","Los_Angeles","all",6,4,0.36285792590298
"Los_Angeles__all","Los_Angeles","all",2,6,0.203679625025454
"Los_Angeles__all","Los_Angeles","all",4,6,0.36285792590298
"Los_Angeles__all","Los_Angeles","all",6,6,0.43303358681743
"Louisville__all","Louisville","all",2,2,0.223855210984224
"Louisville__all","Louisville","all",4,2,0.353769171182468
"Louisville__all","Louisville","all",6,2,0.295800692565764
"Louisville__all","Louisville","all",2,4,0.353769171182468
"Louisville__all","Louisville","all",4,4,0.56763197364083
"Louisville__all","Louisville","all",6,4,0.501681988445418
"Louisville__all","Louisville","all",2,6,0.295800692565764
"Louisville__all","Louisville","all",4,6,0.501681988445418
"Louisville__all","Louisville","all",6,6,0.527724503504292
"Lubbock__all","Lubbock","all",2,2,0.0166372329897769
"Lubbock__all","Lubbock","all",4,2,0.0305551502255671
"Lubbock__all","Lubbock","all",6,2,0.0390344442378802
"Lubbock__all","Lubbock","all",2,4,0.0305551502255671
"Lubbock__all","Lubbock","all",4,4,0.0562220303451521
"Lubbock__all","Lubbock","all",6,4,0.0721123636251754
"Lubbock__all","Lubbock","all",2,6,0.0390344442378802
"Lubbock__all","Lubbock","all",4,6,0.0721123636251754
"Lubbock__all","Lubbock","all",6,6,0.0932772349681998
"Mesa__all","Mesa","all",2,2,0.0165767269184959
"Mesa__all","Mesa","all",4,2,0.0273577657372715
"Mesa__all","Mesa","all",6,2,0.0268629167852661
"Mesa__all","Mesa","all",2,4,0.0273577657372715
"Mesa__all","Mesa","all",4,4,0.0456131640014671
"Mesa__all","Mesa","all",6,4,0.0461551481635476
"Mesa__all","Mesa","all",2,6,0.0268629167852661
"Mesa__all","Mesa","all",4,6,0.0461551481635476
"Mesa__all","Mesa","all",6,6,0.0507017608189745
"Miami__all","Miami","all",2,2,13.1596522170192
"Miami__all","Miami","all",4,2,-27.8566749225699
"Miami__all","Miami","all",6,2,-198.440028777133
"Miami__all","Miami","all",2,4,-27.8566749225699
"Miami__all","Miami","all",4,4,554.572507272721
"Miami__all","Miami","all",6,4,3586.60393699645
"Miami__all","Miami","all",2,6,-198.440028777133
"Miami__all","Miami","all",4,6,3586.60393699645
"Miami__all","Miami","all",6,6,31449.829786078
"Milwaukee__all","Milwaukee","all",2,2,0.347378551233917
"Milwaukee__all","Milwaukee","all",4,2,0.641329881000957
"Milwaukee__all","Milwaukee","all",6,2,0.828426943744667
"Milwaukee__all","Milwaukee","all",2,4,0.641329881000957
"Milwaukee__all","Milwaukee","all",4,4,1.18489231094821
"Milwaukee__all","Milwaukee","all",6,4,1.53291969805974
"Milwaukee__all","Milwaukee","all",2,6,0.828426943744667
"Milwaukee__all","Milwaukee","all",4,6,1.53291969805974
"Milwaukee__all","Milwaukee","all",6,6,1.9895441086977
"Minneapolis__all","Minneapolis","all",2,2,18.6267633665192
"Minneapolis__all","Minneapolis","all",4,2,32.4643075229492
"Minneapolis__all","Minneapolis","all",6,2,36.7234206402547
"Minneapolis__all","Minneapolis","all",2,4,32.4643075229492
"Minneapolis__all","Minneapolis","all",4,4,56.5825059875555
"Minneapolis__all","Minneapolis","all",6,4,64.0084804306324
"Minneapolis__all","Minneapolis","all",2,6,36.7234206402547
"Minneapolis__all","Minneapolis","all",4,6,64.0084804306324
"Minneapolis__all","Minneapolis","all",6,6,72.4168199974668
"Miramar__all","Miramar","all",2,2,0.395388866040355
"Miramar__all","Miramar","all",4,2,0.0821752680481075
"Miramar__all","Miramar","all",6,2,-0.149150403549358
"Miramar__all","Miramar","all",2,4,0.0821752680481075
"Miramar__all","Miramar","all",4,4,2.65003383751411
"Miramar__all","Miramar","all",6,4,2.1068820170959
"Miramar__all","Miramar","all",2,6,-0.149150403549358
"Miramar__all","Miramar","all",4,6,2.1068820170959
"Miramar__all","Miramar","all",6,6,1.94066651124898
"Nashville__all","Nashville","all",2,2,0.00839736677330451
"Nashville__all","Nashville","all",4,2,0.0134590701651388
"Nashville__all","Nashville","all",6,2,0.0119055950397119
"Nashville__all","Nashville","all",2,4,0.0134590701651388
"Nashville__all","Nashville","all",4,4,0.0217103149304867
"Nashville__all","Nashville","all",6,4,0.0196332853161603
"Nashville__all","Nashville","all",2,6,0.0119055950397119
"Nashville__all","Nashville","all",4,6,0.0196332853161603
"Nashville__all","Nashville","all",6,6,0.0190743753675067
"New_York__all","New_York","all",2,2,0.00223568301442433
"New_York__all","New_York","all",4,2,0.00394479954656076
"New_York__all","New_York","all",6,2,0.00460078406600721
