"model_id","city","activity_type","exposure","log_rr"
"Atlanta__ride","Atlanta","ride",4,-0.556591117357449
"Atlanta__ride","Atlanta","ride",6,-0.110926490191075
"Austin__ride","Austin","ride",2,-0.0358571185943383
"Austin__ride","Austin","ride",4,-0.0692118645222619
"Austin__ride","Austin","ride",6,-0.0975618651173563
"Bakersfield__ride","Bakersfield","ride",2,0.103721813173023
"Bakersfield__ride","Bakersfield","ride",4,0.179309407581178
"Bakersfield__ride","Bakersfield","ride",6,0.198628564459596
"Baltimore__ride","Baltimore","ride",2,0.021018016900488
"Baltimore__ride","Baltimore","ride",4,0.0178369194543945
"Baltimore__ride","Baltimore","ride",6,-0.0337424066848622
"Boston__ride","Boston","ride",2,1.79158625706132
"Boston__ride","Boston","ride",4,3.24387533472301
"Boston__ride","Boston","ride",6,4.01757005358543
"Cape_Coral__ride","Cape_Coral","ride",2,-0.914164428071828
"Cape_Coral__ride","Cape_Coral","ride",4,-0.373392366195703
"Cape_Coral__ride","Cape_Coral","ride",6,1.04495960201072
"Chandler__ride","Chandler","ride",2,-0.0940569781146342
"Chandler__ride","Chandler","ride",4,-0.126285431786376
"Chandler__ride","Chandler","ride",6,-0.0383121200574832
"Charleston__ride","Charleston","ride",2,-0.213650429349817
"Charleston__ride","Charleston","ride",4,-0.305353538537534
"Charleston__ride","Charleston","ride",6,-0.202873807079177
"Charlotte__ride","Charlotte","ride",2,0.184507524398273
"Charlotte__ride","Charlotte","ride",4,0.193411257339003
"Charlotte__ride","Charlotte","ride",6,-0.148802347600689
"Chicago__ride","Chicago","ride",2,-0.295497029921805
"Chicago__ride","Chicago","ride",4,-0.53617487673693
"Chicago__ride","Chicago","ride",6,-0.667214357338693
"Cincinnati__ride","Cincinnati","ride",2,-0.0567817138503384
"Cincinnati__ride","Cincinnati","ride",4,-0.36152348440123
"Cincinnati__ride","Cincinnati","ride",6,-1.16218536835323
"Clearwater__ride","Clearwater","ride",2,-0.00931343856217803
"Clearwater__ride","Clearwater","ride",4,-1.45827157241045
"Clearwater__ride","Clearwater","ride",6,-3.16983172891874
"Cleveland__ride","Cleveland","ride",2,-47965.3999297316
"Cleveland__ride","Cleveland","ride",4,-84370.943712946
"Cleveland__ride","Cleveland","ride",6,-97656.7752031264
"Columbia__ride","Columbia","ride",2,0.135186669373041
"Columbia__ride","Columbia","ride",4,0.293283925609151
"Columbia__ride","Columbia","ride",6,0.495125437994968
"Columbus__ride","Columbus","ride",2,-0.0810666708964662
"Columbus__ride","Columbus","ride",4,0.0247477232880682
"Columbus__ride","Columbus","ride",6,0.504324247634601
"Corpus_Christi__ride","Corpus_Christi","ride",2,-1331.01400420603
"Corpus_Christi__ride","Corpus_Christi","ride",4,-1699.05310501626
"Corpus_Christi__ride","Corpus_Christi","ride",6,-1214.59234996264
"Dallas__ride","Dallas","ride",2,-0.0223673656743845
"Dallas__ride","Dallas","ride",4,-0.0440637925870945
"Dallas__ride","Dallas","ride",6,-0.0644183419764554
"Detroit__ride","Detroit","ride",2,-3.81945822280338
"Detroit__ride","Detroit","ride",4,-5.7642301280963
"Detroit__ride","Detroit","ride",6,-3.95962939836824
"Fort_Worth__ride","Fort_Worth","ride",2,-0.0638005436047909
"Fort_Worth__ride","Fort_Worth","ride",4,-0.124256970303733
"Fort_Worth__ride","Fort_Worth","ride",6,-0.178025163190979
"Fresno__ride","Fresno","ride",2,-0.051009645009783
"Fresno__ride","Fresno","ride",4,-0.0999604096803299
"Fresno__ride","Fresno","ride",6,-0.144793413672405
"Gilbert__ride","Gilbert","ride",2,0.0011167001314891
"Gilbert__ride","Gilbert","ride",4,0.0013601906202354
"Gilbert__ride","Gilbert","ride",6,-0.000232606244201905
"Henderson__ride","Henderson","ride",2,0.0615158731702132
"Henderson__ride","Henderson","ride",4,0.108439264643405
"Henderson__ride","Henderson","ride",6,0.126177692722554
"Houston__ride","Houston","ride",2,0.0117380758283194
