"metric","activity_type","predictor","variable_only","exposure","coefficient","se","ci_low","ci_high","joint_p"
"gini","walk","BD","Building Density",2,0.00504798020393119,0.00408383144763188,-0.0029563294334273,0.0130522898412897,0.669358887090512
"gini","walk","BD","Building Density",4,0.00985128866589913,0.00798476958958831,-0.00579885972969395,0.0255014370614922,0.669358887090512
"gini","walk","BD","Building Density",6,0.0141748071520066,0.0115284437648376,-0.00842094262707501,0.0367705569310883,0.669358887090512
"gini","walk","Urbanization_Rate","Urbanization Rate",2,-0.00349970794244848,0.00287794600901213,-0.00914048212011225,0.00214106623521528,0.682178061412057
"gini","walk","Urbanization_Rate","Urbanization Rate",4,-0.0068529854852974,0.00562374549314816,-0.0178755266518678,0.004169555681273,0.682178061412057
"gini","walk","Urbanization_Rate","Urbanization Rate",6,-0.00991485483556094,0.00811325097490333,-0.0258168267463715,0.00598711707524959,0.682178061412057
"gini","walk","Street_Intersection_Density","Street Intersection Density",2,-0.00468359592531834,0.00359846830291764,-0.0117365937990369,0.00236940194840022,0.627491595550292
"gini","walk","Street_Intersection_Density","Street Intersection Density",4,-0.00918752454843582,0.00703968081459106,-0.0229852989450343,0.00461024984816266,0.627491595550292
"gini","walk","Street_Intersection_Density","Street Intersection Density",6,-0.0133365356202141,0.0101758418857361,-0.0332811857162568,0.00660811447582855,0.627491595550292
"gini","walk","Walkability_Index","Walkability Index",2,-0.000609998728735763,0.00295552434401047,-0.00640282644299629,0.00518282898552476,0.994450585144368
"gini","walk","Walkability_Index","Walkability Index",4,-0.0011736443878749,0.00576693003724745,-0.0124768272608799,0.0101295384851301,0.994450585144368
"gini","walk","Walkability_Index","Walkability Index",6,-0.00164058025675212,0.0082973424131596,-0.0179033713865449,0.0146222108730407,0.994450585144368
