city,cluster,is_outlier,beta_max_abs,outlier_assigned_by,peak_lag,peak_val,early_auc,late_auc,ratio_early_late,monotone,decay_slope,n_sig,beta_lag1,pval_lag1,beta_lag2,pval_lag2,beta_lag3,pval_lag3,beta_lag4,pval_lag4,beta_lag5,pval_lag5,beta_lag6,pval_lag6,beta_lag7,pval_lag7,beta_lag8,pval_lag8,beta_lag9,pval_lag9,beta_lag10,pval_lag10,beta_lag11,pval_lag11,beta_lag12,pval_lag12
Detroit,1,1,11.932614134619346,assign_nearest (r=+0.72),12.0,-10.089832074782962,-11.770230981738727,-19.789969225344898,-0.5947573870861443,-3.0,-0.05141856530954497,9.0,-1.3589763697341533,0.0138493447717705,-1.8698019935010883,0.026194650705111,-1.0225041331134497,0.1624483836651609,-2.9684142821714103,0.0004161352366004,-2.968414282171413,0.0004161352366004738,-1.582119921047212,0.0599390839375925,-1.8698019935009773,0.0045439049490175,-1.1766548129408512,5.377948527220775e-06,-1.176654812940817,0.0599314551318016,-1.358976369734157,0.0068801871423271,-2.2752671016087467,0.0068214460179094,-11.932614134619346,0.0
Fort Worth,1,0,0.4695248352714556,,2.0,0.4695248352714556,1.535052928508358,0.20695454505530736,5.225434563169655,-1.0,-0.04057901650316199,9.0,0.2339730660827335,2.0379318255218638e-13,0.4695248352714556,5.044196608171506e-115,0.2724778305461612,4.46645640541672e-14,0.2435162312715855,3.735885681047322e-07,0.1064358932880875,0.0110662556918726,0.2091250720483346,1.1875840695729243e-07,0.1111415087575318,0.0517165767277829,0.2907167641092615,5.53267003011541e-12,0.1124648419220636,0.1034106775004039,-0.1223289176698268,0.0423172439381124,-0.0966549161182587,0.0402180613289288,-0.0883847359454641,0.1591353948575226
Fresno,1,0,0.4426285878949413,,5.0,0.4426285878949413,2.0198087643980007,1.6307025430688684,1.2386118696945148,1.0,-0.006436524480351627,12.0,0.2527240951405559,0.0018134103243447,0.2747805783226192,2.581862101955507e-09,0.262099391461131,4.484118836123754e-09,0.4386050995602816,2.8070271101168783e-27,0.4426285878949413,1.2362675035091814e-22,0.3489710120184718,9.46994996854403e-20,0.3192435301414908,0.00017354428909245782,0.3322394604133702,4.290926920963629e-14,0.2257550214283571,0.0045161918083384,0.2371594812874257,0.0002460872834548761,0.3337433357570544,1.3668716933570478e-06,0.1825617140411703,3.6466772543141366e-06
Gilbert,4,0,0.3932969858884809,,11.0,-0.3932969858884809,0.2296559216384128,-0.16028860267024098,1.432756197611127,-1.0,-0.011565421285326881,12.0,-0.2014060331275572,0.0,0.2407024673327827,0.0,0.1581219797341703,0.0,-0.0374288740286977,0.0,0.1106081399239419,0.0,-0.0409417581962272,0.0,0.1261123264711492,0.0,0.0298676442472131,0.0,-0.0497073365159874,0.0,-0.0080346401871667,0.0,-0.3932969858884809,0.0,0.1347703892030317,0.0
Henderson,2,0,0.2768747274638276,,7.0,0.2768747274638276,0.5600446499587077,0.152264750933309,3.6780736739938464,1.0,-0.011586634937097752,2.0,0.1348604249179433,0.3207399309327065,0.1535966285408563,0.0111636735620781,0.0781575068248484,0.6028979965280806,-0.0615116181608595,0.408215646693072,0.1409851901119536,0.081898192201806,0.1139565177239656,0.4903666415390157,0.2768747274638276,0.0512647595061681,-0.1447197933664802,0.3990349542411534,-0.1087202870416688,0.3078829841251886,0.0919504084205155,0.320394323366728,0.0099650685716723,0.9232943090643628,0.0269146268854426,0.1036335670061074
Houston,1,0,0.3414798140353495,,3.0,0.3414798140353495,1.5709931386644396,0.43907751036986137,3.577932195636495,-3.0,-0.02843686235314846,10.0,0.2856107947038573,5.888442905500858e-54,0.2242250125299741,1.9537058590800242e-09,0.3414798140353495,2.017249415102385e-28,0.3105115241932575,1.0449668734692944e-24,0.1973542056481426,1.4165552214169982e-21,0.2118117875538587,3.2747058399679114e-10,0.0797470964984661,0.0118583663399514,0.1207246753431339,0.0238773620930429,0.1019820505127415,0.00015144790362719225,0.1503440611710754,6.695811508341481e-10,0.0398618766771448,0.6258857220616152,-0.0535822498327003,0.3109204708992349
Indianapolis,4,0,0.4630421445210736,,9.0,-0.4630421445210736,0.41812147628580415,-0.4571756424676302,0.9145731374835246,-1.0,-0.022194437410137595,2.0,0.3866741011550568,0.3217771146298132,-0.0079800952619225,0.968092760125927,0.1228595057093173,0.4470326463682061,0.1599007773774982,0.134985930810921,0.1228595058181604,0.2957688896073989,-0.366192318512306,0.0030532874459524,-0.0297200818813697,0.9120247187841692,-0.2778997113234728,0.0974099153962824,-0.4630421445210736,0.0002249039734680608,0.1868082302945058,0.2304920605034121,0.0132973031810759,0.9238659222130742,0.1133807617827042,0.4971994613737645
Jacksonville,4,0,0.37304320553242,,6.0,-0.37304320553242,-1.4524173219424348,-0.6514309731332462,-2.229576351551526,-1.0,0.014005076489916366,5.0,-0.1182165800798717,0.4406908805880076,-0.359609852139905,0.0119187920773902,-0.2216497293478526,0.048958062535176,-0.073489845989528,0.4645711968509548,-0.3064081088528575,0.0197433033334305,-0.37304320553242,0.0135924572037202,-0.0575043403450258,0.6178348997696834,-0.1045054887436948,0.4730504157447668,-0.3501680572129011,0.033073486239609,0.008770830722212,0.929101764802572,0.026977835408947,0.8369335388831547,-0.1750017529627834,0.1208215007428301
Kansas City,3,0,0.3984372200912031,,12.0,0.3984372200912031,0.9896056141555033,1.9413274612751308,0.5097569184688595,-1.0,0.02559906530762164,10.0,-0.0254776066672607,0.5712330356141168,0.2514781916113369,1.0452283100393686e-06,0.2476587379263788,2.0645794131239764e-08,0.1824644448678462,0.00016740135229590804,0.0328949594209566,0.4088147557368186,0.3005868869962456,3.007461633611853e-14,0.2853864816149238,1.4417960099848493e-14,0.2944573614457432,1.3935421394044912e-13,0.2683606967615375,6.786362051972998e-13,0.3979774493967914,2.02778510986884e-09,0.296708251964932,2.380571413770015e-08,0.3984372200912031,5.348824547280981e-14
Las Vegas,4,0,0.3068674650750903,,6.0,0.3068674650750903,1.0713010711491968,0.8783432921296888,1.219682396468534,-1.0,0.0006209283150194256,9.0,0.1566920028137808,0.0320981907272487,0.1484355324360382,0.0006063138531335155,0.1675183145479827,0.0337882632658375,0.2777059752320555,1.6351313823839136e-08,0.0140817810442494,0.8618592583741268,0.3068674650750903,6.110702435975758e-09,0.1149936180770554,0.0078129034547404,0.0240246073935877,0.7960574331675985,0.112628056510219,0.1603288397433724,0.2602189374460061,6.782760692315704e-12,0.2278054387432489,0.0028042878424473,0.1386726339595716,1.908023003107792e-07
