"scope","support_percent","delta_log_rr"
"National pool",88.3293746134058,0.000977950084420198
"National pool",89.2399867228222,0.0012243832576912
"National pool",90.1505988322389,0.0014705782175353
"National pool",91.0612109416553,0.0017165385680772
"National pool",91.971823051072,0.00196226791344149
"National pool",92.8824351604884,0.0022077698577532
"National pool",93.7930472699051,0.0024530480051369
"National pool",94.7036593793215,0.00269810595971741
"National pool",95.6142714887382,0.00294294732561949
"National pool",96.5248835981548,0.00318757570696759
"National pool",97.4354957075712,0.0034319947078868
"National pool",98.3461078169879,0.0036762079325016
"National pool",99.2567199264043,0.00392021898493701
"C4 pool",0,0
"C4 pool",0.548718020213798,-0.0021128226491198
"C4 pool",1.09743604042759,-0.00422452972360347
"C4 pool",1.64615406064139,-0.00633400564881494
"C4 pool",2.19487208085518,-0.00844013485011808
"C4 pool",2.74359010106898,-0.0105418017528766
"C4 pool",3.29230812128277,-0.0126378907824549
"C4 pool",3.84102614149657,-0.0147272863642163
"C4 pool",4.38974416171036,-0.0168088729235251
"C4 pool",4.93846218192416,-0.0188815348857451
"C4 pool",5.48718020213798,-0.0209441566762399
"C4 pool",6.03589822235177,-0.0229956227203739
"C4 pool",6.58461624256556,-0.0250348174435105
"C4 pool",7.13333426277935,-0.0270606252710138
"C4 pool",7.68205228299315,-0.0290719306282478
"C4 pool",8.23077030320694,-0.0310676179405764
"C4 pool",8.77948832342073,-0.0330465716333632
"C4 pool",9.32820634363452,-0.0350076761319723
"C4 pool",9.87692436384832,-0.0369498158617677
"C4 pool",10.4256423840621,-0.038871875248113
"C4 pool",10.9743604042759,-0.0407727387163724
"C4 pool",11.5230784244897,-0.0426512906919097
"C4 pool",12.0717964447035,-0.0445064156000886
"C4 pool",12.6205144649173,-0.0463369978662732
"C4 pool",13.1692324851311,-0.0481419219158273
"C4 pool",13.7179505053449,-0.0499200721741149
"C4 pool",14.2666685255587,-0.0516703330664996
"C4 pool",14.8153865457724,-0.0533915890183457
"C4 pool",15.3641045659863,-0.0550827244550168
"C4 pool",15.9128225862001,-0.056742623801877
"C4 pool",16.4615406064139,-0.05837017148429
"C4 pool",17.0102586266277,-0.0599642519276199
"C4 pool",17.5589766468415,-0.0615237495572303
"C4 pool",18.1076946670553,-0.063047548798485
"C4 pool",18.656412687269,-0.0645345340767489
"C4 pool",19.2051307074828,-0.0659835898173844
"C4 pool",19.7538487276966,-0.0673936004457566
"C4 pool",20.3025667479104,-0.068763450387229
"C4 pool",20.8512847681242,-0.0700920240671648
"C4 pool",21.400002788338,-0.0713782059109293
"C4 pool",21.9487208085518,-0.0726208803438852
"C4 pool",22.4974388287656,-0.0738189317913973
"C4 pool",23.0461568489794,-0.0749712446788283
"C4 pool",23.5948748691932,-0.0760767034315425
"C4 pool",24.143592889407,-0.0771341924749052
"C4 pool",24.6923109096208,-0.0781425962342786
"C4 pool",25.2410289298346,-0.0791007991350272
"C4 pool",25.7897469500484,-0.0800076856025144
"C4 pool",26.3384649702622,-0.0808621400621052
"C4 pool",26.887182990476,-0.0816630469391624
"C4 pool",27.4359010106898,-0.08240929065905
"C4 pool",27.9846190309036,-0.0830997556471334
"C4 pool",28.5333370511174,-0.0837333263287741
"C4 pool",29.0820550713312,-0.0843088871293382
"C4 pool",29.6307730915449,-0.0848253224741882
"C4 pool",30.1794911117587,-0.0852815167886884
"C4 pool",30.7282091319725,-0.0856763544982021
"C4 pool",31.2769271521863,-0.0860087200280946
"C4 pool",31.8256451724001,-0.0862774978037285
"C4 pool",32.3743631926139,-0.0864815722504686
"C4 pool",32.9230812128277,-0.0866198277936779
"C4 pool",33.4717992330415,-0.0866911488587212
"C4 pool",34.0205172532553,-0.0866944198709621
"C4 pool",34.5692352734691,-0.086628525255764
"C4 pool",35.1179532936829,-0.0864923494384909
"C4 pool",35.6666713138967,-0.0862847768445074
"C4 pool",36.2153893341105,-0.0860046918991769
"C4 pool",36.7641073543243,-0.0856509790278626
"C4 pool",37.3128253745381,-0.0852225232327657
"C4 pool",37.8615433947519,-0.0847187967333782
