scope,scope_label,denominator_package,scenario,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,scope_label_plot,heatwave_label_plot,indicator_label_plot,scenario_label_plot,period_plot,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share
control_region,geographic-region control,annual_all_days_primary,ssp585,cehwi,day,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Daytime,CEHWI,SSP5-8.5,2025-2050,887.0926860025221,0.37823990266197244,0.047408898164940434,1.0874327780179391,0.3947188616268864,0.04823684910175367,1.1906845780455493,0.3867289551005663,0.046043788675003514,1.1906845780455493,0.0
control_region,geographic-region control,annual_all_days_primary,ssp245,cehwi,night,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Nighttime,CEHWI,SSP2-4.5,2025-2050,485.1273644388399,0.2919012691952171,0.2813259677481226,0.4746160786698147,2.533865036333028,2.523149640239985,2.727238119273483,2.5335981557731064,2.523149640239985,2.727238119273483,0.0
control_region,geographic-region control,annual_all_days_primary,ssp370,cehwi,night,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Nighttime,CEHWI,SSP3-7.0,2025-2050,519.2238335435056,0.3073162975415599,0.2984586840727575,0.48770001369279564,2.6946435929712007,2.6856939084524334,2.883200639293243,2.694435938048256,2.6856939084524334,2.883200639293243,0.0
control_region,geographic-region control,annual_all_days_primary,ssp585,cehwi,night,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Nighttime,CEHWI,SSP5-8.5,2025-2050,538.1204287515764,0.34921128035105603,0.3378537403726696,0.55968895066128,3.014235444023721,3.0027434601497967,3.236174828405576,3.013760696823687,3.0027434601497967,3.2361744045903396,0.0
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp245,cehwi,composite,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Compound,CEHWI,SSP2-4.5,2025-2050,539.3211233211233,1.3815686998543377,0.42856926992447836,2.7032403444149926,6.399846650180133,3.9331451718087953,10.55153471891156,6.190323893402868,3.8142845510781638,10.48589750767184,4.915907505426013e-05
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp370,cehwi,composite,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Compound,CEHWI,SSP3-7.0,2025-2050,570.8455433455433,1.503398284881286,0.48445609983773136,2.949533726865577,7.3953930791410025,4.770346156790444,11.882032211768994,7.203523943068851,4.657989058246709,11.8100285544296,8.925987399567349e-06
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp585,cehwi,composite,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Compound,CEHWI,SSP5-8.5,2025-2050,613.6617826617827,1.7195279908436656,0.5484836295590942,3.3995903574333366,8.450727055628041,5.234444817521915,13.990688506192193,8.073084671913493,4.995014480018128,13.847351278583956,9.863208518583472e-05
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp245,cehwi,day,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Daytime,CEHWI,SSP2-4.5,2025-2050,807.7848232848233,1.2865956455195047,0.5855157620125657,2.7898349426028446,7.614856152286797,6.581532504933728,11.22534466359306,7.4142461963216855,6.43583299577114,11.128275478211764,0.00029431023503730363
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp370,cehwi,day,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Daytime,CEHWI,SSP3-7.0,2025-2050,807.8409563409564,1.2426932891032871,0.5762573234414916,2.7475787503962645,7.5592467575012785,6.622177223453007,11.109545423387722,7.363532652467887,6.5093696255977225,11.034297470702532,1.9460978365083406e-05
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp585,cehwi,day,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Daytime,CEHWI,SSP5-8.5,2025-2050,865.9209979209979,1.4078296134586734,0.6179291168329742,3.1055557241306855,8.021552058189265,6.853175648459962,12.27891794726281,7.755481110714434,6.686722691853888,12.175757899837363,0.0002359041465995962
