"model_id","city","activity","row_component","col_component","covariance"
"Jacksonville__all","Jacksonville","all",2,3,0.505072936393567
"Jacksonville__all","Jacksonville","all",3,3,1.04744813226446
"Kansas_City__all","Kansas_City","all",1,1,0.634942640634431
"Kansas_City__all","Kansas_City","all",2,1,-1.79973907913559
"Kansas_City__all","Kansas_City","all",3,1,-3.04074207486592
"Kansas_City__all","Kansas_City","all",1,2,-1.79973907913559
"Kansas_City__all","Kansas_City","all",2,2,8.66617396912922
"Kansas_City__all","Kansas_City","all",3,2,14.4447850563483
"Kansas_City__all","Kansas_City","all",1,3,-3.04074207486592
"Kansas_City__all","Kansas_City","all",2,3,14.4447850563483
"Kansas_City__all","Kansas_City","all",3,3,24.1345693790179
"Las_Vegas__all","Las_Vegas","all",1,1,0.444294511667412
"Las_Vegas__all","Las_Vegas","all",2,1,-0.564349275064217
"Las_Vegas__all","Las_Vegas","all",3,1,-0.998333153543603
"Las_Vegas__all","Las_Vegas","all",1,2,-0.564349275064217
"Las_Vegas__all","Las_Vegas","all",2,2,1.15423296482269
"Las_Vegas__all","Las_Vegas","all",3,2,2.03260402880613
"Las_Vegas__all","Las_Vegas","all",1,3,-0.998333153543603
"Las_Vegas__all","Las_Vegas","all",2,3,2.03260402880613
"Las_Vegas__all","Las_Vegas","all",3,3,3.66886178883408
"Los_Angeles__all","Los_Angeles","all",1,1,10.2713251970464
"Los_Angeles__all","Los_Angeles","all",2,1,-8.78852375413576
"Los_Angeles__all","Los_Angeles","all",3,1,-13.2998737498083
"Los_Angeles__all","Los_Angeles","all",1,2,-8.78852375413576
"Los_Angeles__all","Los_Angeles","all",2,2,26.82816183104
"Los_Angeles__all","Los_Angeles","all",3,2,45.8075834998765
"Los_Angeles__all","Los_Angeles","all",1,3,-13.2998737498083
"Los_Angeles__all","Los_Angeles","all",2,3,45.8075834998765
"Los_Angeles__all","Los_Angeles","all",3,3,78.9330691401604
"Louisville__all","Louisville","all",1,1,96.177936187527
"Louisville__all","Louisville","all",2,1,-254.713640352389
"Louisville__all","Louisville","all",3,1,-390.42811323693
"Louisville__all","Louisville","all",1,2,-254.713640352389
"Louisville__all","Louisville","all",2,2,848.380721298549
"Louisville__all","Louisville","all",3,2,1299.5921636115
"Louisville__all","Louisville","all",1,3,-390.42811323693
"Louisville__all","Louisville","all",2,3,1299.5921636115
"Louisville__all","Louisville","all",3,3,1994.33788291002
"Lubbock__all","Lubbock","all",1,1,4.43752749465561
"Lubbock__all","Lubbock","all",2,1,-4.57929160638157
"Lubbock__all","Lubbock","all",3,1,-7.77006410537046
"Lubbock__all","Lubbock","all",1,2,-4.57929160638157
"Lubbock__all","Lubbock","all",2,2,8.89226309521311
"Lubbock__all","Lubbock","all",3,2,14.4806007975638
"Lubbock__all","Lubbock","all",1,3,-7.77006410537046
"Lubbock__all","Lubbock","all",2,3,14.4806007975638
"Lubbock__all","Lubbock","all",3,3,24.3425632558611
