"model_id","city","activity","basis_fun","knots","boundary_knots","intercept","lag_effect_days"
"Bakersfield__run","Bakersfield","run","ns","6.3205000000000098;17.7699999999999960","0.000000000000000;55.555000000000007","FALSE","12"
"Baltimore__run","Baltimore","run","ns","6.0380000000000109;14.5299999999999994","0.000000000000000;23.842500000000044","FALSE","12"
"Boston__run","Boston","run","ns","10.025000000000002;15.884000000000004","0.000000000000000;16.039999999999999","FALSE","12"
"Cape_Coral__run","Cape_Coral","run","ns","2.6850000000000023;7.7324000000000126","0.000000000000000;12.555999999999996","FALSE","12"
"Chandler__run","Chandler","run","ns","4.919999999999991;12.434125000000044","0.000000000000000;32.745000000000019","FALSE","12"
"Charleston__run","Charleston","run","ns","3.7085000000000008;11.1152499999999890","0.000000000000000;21.274999999999999","FALSE","8"
"Charlotte__run","Charlotte","run","ns","5.8200000000000038;14.3070000000000022","0.000000000000000;21.749999999999993","FALSE","12"
"Chicago__run","Chicago","run","ns","6.5780000000000154;21.7849000000000075","0.000000000000000;28.323250000000002","FALSE","12"
"Cincinnati__run","Cincinnati","run","ns","7.8290000000000006;16.4600000000000009","0.000000000000000;20.539999999999999","FALSE","12"
"Clearwater__run","Clearwater","run","ns","1.9644999999999977;6.7712999999999983","0.000000000000000;14.909999999999989","FALSE","12"
"Cleveland__run","Cleveland","run","ns","7.9145000000000092;13.1660000000000039","0.000000000000000;15.669999999999998","FALSE","8"
"Columbia__run","Columbia","run","ns","5.1600000000000108;15.2799999999999958","0.000000000000000;40.115000000000009","FALSE","8"
"Columbus__run","Columbus","run","ns","10.274500000000000;16.135000000000009","0.000000000000000;17.945000000000004","FALSE","12"
"Corpus_Christi__run","Corpus_Christi","run","ns","2.2137500000000045;9.3779000000000092","0.00000000000000;24.23225000000004","FALSE","12"
"Dallas__run","Dallas","run","ns","9.9749999999999979;47.4075000000000131","0.00000000000000;175.71999999999997","FALSE","12"
"Detroit__run","Detroit","run","ns","6.4282499999999985;17.3454000000000015","0.000000000000000;25.388750000000002","FALSE","12"
"Fort_Worth__run","Fort_Worth","run","ns","8.0849999999999973;40.6500000000000057","0.000000000000000;75.204000000000065","FALSE","12"
"Fresno__run","Fresno","run","ns","9.4511250000000224;26.6549999999999905","0.000000000000000;63.940500000000029","FALSE","12"
"Gilbert__run","Gilbert","run","ns","4.9049999999999905;12.2045000000000101","0.000000000000000;31.205000000000027","FALSE","12"
"Henderson__run","Henderson","run","ns","6.042500000000004;18.694499999999984","0.000000000000000;40.223000000000035","FALSE","12"
"Houston__run","Houston","run","ns","5.3412500000000076;30.3425000000000082","0.00000000000000;66.23899999999999","FALSE","12"
"Indianapolis__run","Indianapolis","run","ns","9.4450000000000003;23.1534000000000368","0.000000000000000;26.113749999999996","FALSE","12"
"Jacksonville__run","Jacksonville","run","ns","3.0899999999999999;11.8799999999999919","0.000000000000000;20.049999999999983","FALSE","12"
"Kansas_City__run","Kansas_City","run","ns","5.7070000000000096;21.2890000000000512","0.000000000000000;44.030000000000136","FALSE","8"
"Las_Vegas__run","Las_Vegas","run","ns","5.5300000000000047;15.7237500000000008","0.000000000000000;35.848750000000074","FALSE","12"
"Los_Angeles__run","Los_Angeles","run","ns","9.0715000000000039;14.7992500000000078","0.00000000000000;28.61999999999999","FALSE","12"
"Louisville__run","Louisville","run","ns","7.8070000000000075;15.6869249999999933","0.000000000000000;22.940000000000008","FALSE","12"
"Lubbock__run","Lubbock","run","ns","8.0377499999999955;20.9199999999999946","0.000000000000000;39.077000000000012","FALSE","12"
"Mesa__run","Mesa","run","ns","4.9082500000000024;12.1162500000000435","0.000000000000000;33.125000000000014","FALSE","12"
"Miami__run","Miami","run","ns","1.7200000000000006;4.1915999999999967","0.0000000000000000;6.7200000000000024","FALSE","12"
"Milwaukee__run","Milwaukee","run","ns","8.7089999999999996;22.7049999999999983","0.000000000000000;34.164999999999992","FALSE","12"
"Minneapolis__run","Minneapolis","run","ns","9.4135000000000009;18.3518000000000150","0.000000000000000;19.312000000000044","FALSE","12"
"Miramar__run","Miramar","run","ns","1.6194999999999986;4.4820000000000064","0.0000000000000000;9.2200000000000166","FALSE","12"
"Nashville__run","Nashville","run","ns","5.2380000000000013;16.5923500000000068","0.000000000000000;42.750000000000014","FALSE","12"
"New_York__run","New_York","run","ns","8.3000000000000007;17.2099999999999973","0.000000000000000;22.655000000000001","FALSE","12"
"Newark__run","Newark","run","ns","8.6712500000000006;14.5745000000000076","0.00000000000000;18.08150000000003","FALSE","12"
"Oklahoma_City__run","Oklahoma_City","run","ns","8.2825000000000042;60.9972999999999956","0.00000000000000;174.12500000000009","FALSE","12"
"Orlando__run","Orlando","run","ns","3.4550000000000054;11.2491000000000110","0.000000000000000;22.594999999999978","FALSE","8"
"Overland_Park__run","Overland_Park","run","ns","5.7500000000000071;22.4102000000000956","0.000000000000000;70.479000000000042","FALSE","8"
"Palm_Bay__run","Palm_Bay","run","ns","2.4275000000000002;8.1699999999999928","0.000000000000000;14.044999999999987","FALSE","12"
"Philadelphia__run","Philadelphia","run","ns","6.7200000000000006;12.3784999999999936","0.000000000000000;23.289000000000001","FALSE","12"
"Phoenix__run","Phoenix","run","ns","4.5450000000000017;12.3201250000000684","0.000000000000000;34.122500000000016","FALSE","12"
"Raleigh__run","Raleigh","run","ns","4.8835000000000015;12.3397000000000041","0.000000000000000;32.434999999999988","FALSE","8"
"Richmond__run","Richmond","run","ns","6.235000000000003;14.285500000000006","0.000000000000000;21.083500000000001","FALSE","12"
"Riverside__run","Riverside","run","ns","9.0150000000000006;15.8351250000000192","0.000000000000000;33.699999999999989","FALSE","12"
"Sacramento__run","Sacramento","run","ns","16.970375000000018;29.421900000000008","0.000000000000000;37.155000000000008","FALSE","12"
"San_Antonio__run","San_Antonio","run","ns","3.9995000000000012;22.6650000000000063","0.000000000000000;65.123999999999953","FALSE","12"
"San_Bernardino__run","San_Bernardino","run","ns","6.9000000000000057;13.8525999999999954","0.000000000000000;29.989999999999995","FALSE","12"
"San_Jose__run","San_Jose","run","ns","16.616999999999997;27.208199999999994","0.000000000000000;39.813000000000002","FALSE","12"
"Scottsdale__run","Scottsdale","run","ns","4.7670000000000172;12.7190000000000154","0.000000000000000;53.035000000000011","FALSE","12"
"St_Louis__run","St_Louis","run","ns","5.2149999999999999;19.1609000000000407","0.000000000000000;49.135000000000019","FALSE","8"
"St_Petersburg__run","St_Petersburg","run","ns","2.3494999999999990;7.1335999999999995","0.000000000000000;14.230000000000004","FALSE","8"
"Tallahassee__run","Tallahassee","run","ns","2.8279999999999994;7.4919999999999956","0.000000000000000;17.289999999999999","FALSE","12"
"Tampa__run","Tampa","run","ns","3.4899999999999984;9.5985000000000085","0.000000000000000;14.489999999999997","FALSE","8"
"Tucson__run","Tucson","run","ns","4.558625000000017;15.637500000000010","0.000000000000000;47.181499999999986","FALSE","12"
"Virginia_Beach__run","Virginia_Beach","run","ns","3.8135000000000017;12.0740000000000691","0.000000000000000;33.415000000000006","FALSE","12"
"Visalia__run","Visalia","run","ns","8.8437499999999929;27.6465999999999852","0.000000000000000;64.919999999999987","FALSE","12"
"Washington__run","Washington","run","ns","6.1750000000000043;13.9633250000000011","0.000000000000000;28.817499999999999","FALSE","12"
"Abilene__walk","Abilene","walk","ns","7.2349999999999959;25.8699999999999939","0.000000000000000;57.785000000000025","FALSE","12"
"Amarillo__walk","Amarillo","walk","ns","7.2154999999999951;16.7754000000000012","0.000000000000000;33.317000000000014","FALSE","12"
"Arlington__walk","Arlington","walk","ns","9.1599999999999895;42.0780000000000030","0.000000000000000;75.629999999999981","FALSE","12"
"Atlanta__walk","Atlanta","walk","ns","4.9449999999999967;14.5700000000000038","0.000000000000000;19.170000000000009","FALSE","8"
"Austin__walk","Austin","walk","ns","6.1260000000000012;38.4609999999999985","0.000000000000000;99.437500000000057","FALSE","12"
"Bakersfield__walk","Bakersfield","walk","ns","6.3205000000000098;17.7699999999999960","0.000000000000000;55.555000000000007","FALSE","12"
"Baltimore__walk","Baltimore","walk","ns","6.0380000000000109;14.5299999999999994","0.000000000000000;23.842500000000044","FALSE","12"
