scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp245,St_Louis,cehwi,composite,all,St Louis,2025-2050,66430.0,9390.0,0.5010188103927429,0.015310419981278828,0.9701322182276665,0.5155328063574466,0.01532664775111417,1.0267276946981603,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,St_Petersburg,cehwi,composite,all,St Petersburg,2025-2050,18980.0,2076.0,0.13119801720336216,0.0036718620864018997,0.25590550405299495,0.13272682167794841,0.003673169449081212,0.2617804739068162,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,Tallahassee,cehwi,composite,all,Tallahassee,2025-2050,94900.0,11431.0,0.24547275911488697,0.00757583625966978,0.474486963617311,0.25039874352446206,0.007581421672353106,0.4932166112401477,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Tampa,cehwi,composite,all,Tampa,2025-2050,94900.0,8566.0,0.11816535764972066,0.0033442351405620577,0.23025873774983485,0.11965080112457802,0.003345586340757956,0.2359560159083985,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,Tucson,cehwi,composite,all,Tucson,2025-2050,132860.0,13699.0,0.28310840968163486,0.009010443248598081,0.545746754196454,0.2894753755363805,0.009017853008529884,0.569933701491864,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Virginia_Beach,cehwi,composite,all,Virginia Beach,2025-2050,18980.0,2244.0,0.2879955530179495,0.008993304946128803,0.556239023419181,0.29395690381330447,0.009000100324539479,0.5789137073020697,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Visalia,cehwi,composite,all,Visalia,2025-2050,56940.0,6583.0,0.3620286091494834,0.011708935831592765,0.6964144857757804,0.3714485433993137,0.011720413312524455,0.7322666481917054,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Washington,cehwi,composite,all,Washington,2025-2050,66430.0,5413.0,0.25359922753069175,0.007934012393945143,0.49048529250283585,0.25990508852960115,0.007941270963088193,0.5148531312058371,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp370,Abilene,cehwi,composite,all,Abilene,2025-2050,85410.0,15395.0,0.7580545899554858,0.022325859807875294,1.466063394561236,0.7837988253293932,0.02235358881853965,1.5666238086120063,SSP3-7.0,CEHWI,Compound,2,C2,#E39D00
ssp370,Amarillo,cehwi,composite,all,Amarillo,2025-2050,94900.0,11550.0,0.3961868952657564,0.012019052574230478,0.7632759219831122,0.4071503987061552,0.012031035612998047,0.8053627130104604,SSP3-7.0,CEHWI,Compound,4,C4,#1F4F8C
ssp370,Arlington,cehwi,composite,all,Arlington,2025-2050,85410.0,15492.0,0.786660279449613,0.023004428629376742,1.5338571869377784,0.8131167342809426,0.02303316427794381,1.6392954131025208,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Atlanta,cehwi,composite,all,Atlanta,2025-2050,113880.0,12344.0,0.2832405957185214,0.009017226733769035,0.5462405855796576,0.28949055994845024,0.00902472015181479,0.5699717691514361,SSP3-7.0,CEHWI,Compound,3,C3,#5EA4CE
ssp370,Austin,cehwi,composite,all,Austin,2025-2050,227760.0,43095.0,0.7098265706767192,0.022356426631993234,1.371645701146834,0.7317109032539442,0.022382302775992517,1.4565149261021362,SSP3-7.0,CEHWI,Compound,2,C2,#E39D00
ssp370,Bakersfield,cehwi,composite,all,Bakersfield,2025-2050,132860.0,16559.0,0.38747394962884507,0.01257743485567934,0.7447290903423459,0.3979097723886496,0.012590405330253485,0.7844268106843444,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Baltimore,cehwi,composite,all,Baltimore,2025-2050,75920.0,7611.0,0.2987137805203962,0.00938126920067559,0.5759359407364907,0.30584059430797633,0.009389434307182209,0.6031208549633928,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Boston,cehwi,composite,all,Boston,2025-2050,56940.0,728.0,0.042328605409736535,0.001330651491249528,0.08145330232484173,0.04338975255595411,0.0013318585067308801,0.08548820314131557,SSP3-7.0,CEHWI,Compound,2,C2,#E39D00
ssp370,Cape_Coral,cehwi,composite,all,Cape Coral,2025-2050,75920.0,7576.0,0.1330735579472369,0.0038437812439855645,0.2589177570845164,0.134926748875987,0.003845590485827293,0.2660079072661472,SSP3-7.0,CEHWI,Compound,4,C4,#1F4F8C
ssp370,Chandler,cehwi,composite,all,Chandler,2025-2050,75920.0,9061.0,0.29969755448649316,0.00951132363727229,0.5780004827443025,0.3063138501436027,0.009519187617547482,0.6031249482003531,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Charleston,cehwi,composite,all,Charleston,2025-2050,66430.0,10241.0,0.433480084093432,0.01409920810898363,0.8335379232288251,0.44431520011111414,0.014112538310123634,0.8746055546612448,SSP3-7.0,CEHWI,Compound,3,C3,#5EA4CE
ssp370,Charlotte,cehwi,composite,all,Charlotte,2025-2050,218270.0,29865.0,0.4444236120421428,0.014177629835459499,0.8544748608080083,0.45625942442431006,0.01419158287114996,0.8995431492569161,SSP3-7.0,CEHWI,Compound,4,C4,#1F4F8C
ssp370,Chicago,cehwi,composite,all,Chicago,2025-2050,246740.0,24321.0,0.32947285976078894,0.010528809246346154,0.6336048209482122,0.3381619130011241,0.01053907898510614,0.6666880950405886,SSP3-7.0,CEHWI,Compound,4,C4,#1F4F8C
ssp370,Cincinnati,cehwi,composite,all,Cincinnati,2025-2050,113880.0,4923.0,0.11099143579259303,0.003393552711593837,0.2146904810058692,0.11314322802908891,0.0033958889950936157,0.22289056706308438,SSP3-7.0,CEHWI,Compound,4,C4,#1F4F8C
