scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label
ssp245,Clearwater,cehwi,day,all,Clearwater,2025-2050,47450.0,10947.0,0.22875964360605844,0.006897340783728439,0.5297629224055797,0.23259870436572147,0.006963209966060462,0.5472471248248233,SSP2-4.5,CEHWI,Daytime
ssp245,Clearwater,cehwi,night,all,Clearwater,2025-2050,47450.0,9006.0,0.0,0.0,0.09727653866053852,0.0,0.0,0.09779558856586919,SSP2-4.5,CEHWI,Nighttime
ssp245,Clearwater,exceeded_quantity,composite,all,Clearwater,2025-2050,47450.0,5388.0,0.15040695366460521,0.0,0.36192736162151384,0.151717581656153,0.0,0.3695723405508961,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Clearwater,exceeded_quantity,day,all,Clearwater,2025-2050,47450.0,10947.0,0.18045124330018725,0.0,0.43705484045366627,0.1817099829504878,0.0,0.4442124922087475,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Clearwater,exceeded_quantity,night,all,Clearwater,2025-2050,47450.0,9006.0,0.04414161025765882,0.0,0.31039060857697137,0.04424983553033316,0.0,0.3146052218801384,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Cleveland,cehwi,composite,all,Cleveland,2025-2050,104390.0,3011.0,0.08265494076431132,0.0025390594319420526,0.15954862394073205,0.084456607030236,0.0025410196202024825,0.1664115833189285,SSP2-4.5,CEHWI,Compound
ssp245,Cleveland,cehwi,day,all,Cleveland,2025-2050,104390.0,18885.0,0.27528823851050377,0.005099468143877804,0.6408212202758231,0.27977819241928553,0.005140512868327023,0.6626900983033631,SSP2-4.5,CEHWI,Daytime
ssp245,Cleveland,cehwi,night,all,Cleveland,2025-2050,104390.0,780.0,0.0,0.0,0.001690699088036659,0.0,0.0,0.0016950154143891474,SSP2-4.5,CEHWI,Nighttime
ssp245,Cleveland,exceeded_quantity,composite,all,Cleveland,2025-2050,104390.0,3011.0,0.10605751200416948,0.0,0.2423732141897636,0.10841603298013262,0.0,0.25484487080158524,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Cleveland,exceeded_quantity,day,all,Cleveland,2025-2050,104390.0,18885.0,0.4167633412481486,0.02486685594001291,0.886290652901017,0.4261894682630773,0.025301401621617144,0.9232921350860375,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Cleveland,exceeded_quantity,night,all,Cleveland,2025-2050,104390.0,780.0,0.0013487591173752373,0.0,0.009969873846053922,0.0013512993824689175,0.0,0.010085077248905564,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Columbia,cehwi,composite,all,Columbia,2025-2050,104390.0,14124.0,0.4122151644911209,0.012966702563121865,0.7953594463372716,0.4231124751593475,0.01297943097259895,0.8372423941135893,SSP2-4.5,CEHWI,Compound
ssp245,Columbia,cehwi,day,all,Columbia,2025-2050,104390.0,11009.0,0.09208490260702948,0.0012498515035550056,0.21890987617949298,0.09327773843288625,0.0012565759995951155,0.22480209492333356,SSP2-4.5,CEHWI,Daytime
